File_name,Time,Max. Battery Voltage (V),Min. Battery Voltage (V),Charge Amp Hours (Ah),Load Amp Hours (A),Max Load Current (A),Max. PV Current (A),Max. PV Voltage (V),Min. PV Voltage (V),Batt State of Charge (SOC%),Max Battery Temp,Min Battery Temp,Length of Night (h),ALC,Flags,Date
18.cisdl,10,28.5,26.5,2.59,5.12,2,2.5,47.5,0.5,100,10,4,14.66666667,100,b10,
18.cisdl,11,28.5,26.4,4.39,4.35,2,6,45,0.5,100,7,0,13.83333333,100,b10,
18.cisdl,12,28.5,26.5,1.77,5.11,2,1.5,46,0.5,100,11,4,14.33333333,100,b10011,
18.cisdl,13,28.5,26.5,2.35,4.84,2,1.5,47.5,0.5,100,9,3,14.33333333,100,b10,
18.cisdl,14,27,26.4,1.88,5.18,1.5,1.5,46.5,0.5,100,4,1,14.33333333,100,b0,
18.cisdl,15,28.5,26.4,6.63,4.71,2,8,46.5,0.5,100,6,0,13.83333333,100,b10011,
18.cisdl,16,28.5,26.5,4.35,4.71,2,5.5,45,0.5,100,9,1,13.66666667,100,b10,
18.cisdl,17,28.5,26.5,4.93,5.01,2,5,45,0.5,100,9,4,14,100,b10,
18.cisdl,18,28.5,26.5,4.76,5.11,2,6.5,45,0.5,100,8,3,14.16666667,100,b10011,
18.cisdl,19,28.5,26.5,2.24,4.56,2,1.5,47.5,0.5,100,3,-2,14,100,b10,
18.cisdl,20,28.5,26.3,4.25,4.39,2,5.5,48,0.5,100,-1,-9,13.5,100,b10011,
18.cisdl,21,27.3,26.3,0.23,5.01,1.5,0,43,0.5,100,-2,-7,14,100,b0,
18.cisdl,22,26.9,26.5,0,0.31,1.5,0,18.5,2.5,100,-3,-3,14,100,b0,
18.cisdl,23,27.4,26.3,2.68,5.15,1.5,1,47,0.5,100,-3,-10,14.5,100,b0,
18.cisdl,24,28.5,26.2,5.45,4.29,2,1.5,46.5,0.5,100,1,-14,13.66666667,100,b10,
18.cisdl,25,27.2,26.3,2.72,4.71,1.5,1.5,45,0.5,100,-2,-9,13.5,100,b0,
18.cisdl,26,26.7,26.4,0.01,5.91,1.5,0,41,0.5,100,1,-3,15.33333333,100,b0,
18.cisdl,27,26.8,26.4,0.14,4.83,1.5,0,42.5,0.5,100,1,0,15,100,b0,
18.cisdl,28,26.8,26.2,1.92,4.56,1.5,0,44,0.5,100,2,-4,14,100,b0,
18.cisdl,29,27.6,26.1,7.03,4.7,1.5,6,44.5,0.5,100,2,-3,13.5,100,b0,
18.cisdl,30,28.5,26.6,10.61,4.91,2,8,45.5,0.5,100,10,1,13.5,100,b10,
4.cisdl,1,28.5,26.5,9.81,11.39,3.5,12.5,45.5,0.5,100,10,4,14.16666667,100,b10,
4.cisdl,2,28.5,26.4,10.64,10.27,3.5,12,45,0.5,100,6,0,13.66666667,100,b10,
4.cisdl,3,28.5,26.5,6.03,12.18,3.5,8,45.5,0.5,100,12,3,14.16666667,100,b10,
4.cisdl,4,28.5,26.4,9.85,10.75,3.5,15,46.5,0.5,100,8,3,13.83333333,100,b10,
4.cisdl,5,26.8,26.4,3.31,11.58,3,1.5,44,0.5,100,4,1,14,100,b0,
4.cisdl,6,28.5,26.4,19.35,11.06,3.5,14.5,45,0.5,100,5,-1,13.83333333,100,b10,
4.cisdl,7,28.5,26.4,11,10.69,3.5,8,44.5,0.5,100,9,0,13.5,100,b10,
4.cisdl,8,28.5,26.4,11.74,11.45,3.5,10.5,43.5,0.5,100,9,4,13.83333333,100,b10,
4.cisdl,9,28.5,26.4,11.24,11.12,3.5,11,44.5,0.5,100,7,2,13.66666667,100,b10,
4.cisdl,10,28.5,26.4,10.31,11.36,3,5,47,0.5,100,3,-2,13.83333333,100,b10,
4.cisdl,11,28.5,26.3,9.97,10.58,3,10,48,0.5,100,-2,-9,13.33333333,100,b10,
4.cisdl,12,26.9,26.3,0.89,12.24,3,0,44,0.5,100,-3,-8,13.66666667,100,b0,
4.cisdl,13,27.2,26.1,6.95,12.79,3,2,47,0.5,100,-3,-11,14.16666667,100,b0,
4.cisdl,14,27.4,25.9,21.53,11.18,3,5.5,46.5,0.5,100,-2,-14,13.5,100,b0,
4.cisdl,15,27.1,26.2,5.14,11.75,3,3,45.5,0.5,100,-3,-10,13.33333333,100,b0,
4.cisdl,16,26.7,26.3,0.29,13.43,3,0,41,0.5,100,1,-3,14.5,100,b0,
4.cisdl,17,26.7,26.1,0.7,11.63,3,0,43,0.5,100,0,-1,14.5,100,b0,
4.cisdl,18,26.6,25.9,5,10.16,3,1,44.5,0.5,100,0,-4,13.5,100,b0,
4.cisdl,19,26.9,25.9,10.79,10.49,3,6,43.5,0.5,100,1,-4,13.5,100,b0,
4.cisdl,20,27.5,26.1,26.36,10.58,3,14,45,0.5,100,8,0,13.16666667,100,b0,
4.cisdl,21,27.6,26.4,20.27,10.88,3,12.5,44.5,0.5,100,6,1,13.16666667,100,b0,
4.cisdl,22,28.5,26.4,16.62,10.59,3.5,12,46,0.5,100,6,0,13,100,b10,
4.cisdl,23,28.5,26.4,11.22,11.08,3.5,4.5,45.5,0.5,100,5,-3,13,100,b10,
4.cisdl,24,27.1,26.4,3.83,11.31,3,3,43,0.5,100,3,1,13.16666667,100,b0,
4.cisdl,25,27,26.4,5.52,11.66,3,1.5,43.5,0.5,100,3,0,13.5,100,b0,
4.cisdl,26,28.5,26.3,17.65,10.38,3,13,47,0.5,100,0,-4,13,100,b10,
4.cisdl,27,27.4,26.3,10.84,10.96,3,7.5,45,0.5,100,3,-1,14.33333333,100,b0,
4.cisdl,28,28.5,26.4,13.67,11.49,3,7.5,47,0.5,100,2,-2,14.33333333,100,b10,
4.cisdl,29,28.5,26.4,9.55,10.96,3.5,11,46,0.5,100,6,-4,13.83333333,100,b10,
4.cisdl,30,27.5,26.4,11.36,11.72,3.5,11.5,43,0.5,100,9,3,14.16666667,100,b0,
5.cisdl,1,28.5,26.2,11.51,10.37,3,9.5,46,0.5,100,16,-1,13.5,100,b10011,
5.cisdl,2,28.5,26.2,11.63,12.04,3.5,13.5,45.5,0.5,100,19,4,14.16666667,100,b10011,
5.cisdl,3,28.5,26.2,11.46,10.7,3.5,15,46.5,0.5,100,12,3,13.83333333,100,b10,
5.cisdl,4,27,26.1,3.96,11.29,3,2,44.5,0.5,100,3,0,13.83333333,100,b0,
5.cisdl,5,28.5,25.9,20.33,10.99,3,14.5,45,0.5,100,12,-1,13.66666667,100,b10,
5.cisdl,6,28.5,26.2,11.67,10.6,3.5,7.5,44.5,0.5,100,17,0,13.5,100,b10,
5.cisdl,7,28.5,26.2,12.26,11.34,3.5,10,43.5,0.5,100,14,4,13.66666667,100,b10011,
5.cisdl,8,27.9,26.2,11.55,11.02,3,10.5,43.5,0.5,100,8,2,13.66666667,100,b0,
5.cisdl,9,28.5,26.1,12.84,11.5,3,10.5,46,0.5,100,4,-3,13.83333333,100,b10,
5.cisdl,10,28.5,25.8,11.44,10.36,3,10,47.5,0.5,100,0,-11,13.33333333,100,b10,
5.cisdl,11,26.9,25.8,1.03,12.61,3,0.5,43.5,0.5,100,-1,-9,13.5,100,b0,
5.cisdl,12,27.1,25.4,6.34,12.89,3,1.5,47.5,0.5,100,0,-14,14,100,b0,
5.cisdl,13,26.9,25,9.02,10.49,3,1.5,46,0.5,100,8,-16,13.33333333,100,b0,
5.cisdl,14,26.7,25.2,2.47,11.74,2.5,2.5,44,0.5,100,-2,-12,13.33333333,100,b0,
5.cisdl,15,26,25.2,0.39,11.92,2.5,0,40.5,0.5,100,1,-3,14.33333333,100,b0,
5.cisdl,16,25.5,24.7,0.62,6.24,2.5,0,42.5,0.5,87,2,-1,14.5,100,b0,
5.cisdl,17,26.6,24.2,8,0.82,2.5,5.5,44.5,0.5,0,6,1,12,0,b10,
5.cisdl,18,27.4,24.3,26.47,8.12,3,13.5,45,0.5,67,16,2,13.16666667,100,b10,
5.cisdl,19,27.5,25.8,19.83,10.9,3,11.5,43.5,0.5,100,13,1,13.16666667,100,b10,
5.cisdl,20,28.5,25.9,30.35,10.55,3,15,46,0.5,100,9,-1,12.83333333,100,b10,
5.cisdl,21,28.5,26,12.06,10.94,3,8.5,46,0.5,100,13,-4,12.83333333,100,b10,
5.cisdl,22,27,26.2,3.82,11.17,3,3,44,0.5,100,3,0,13.16666667,100,b0,
5.cisdl,23,26.9,26,5.38,11.46,3,1.5,43,0.5,100,3,-1,13.33333333,100,b0,
5.cisdl,24,28.5,25.7,26.47,10.35,3,13.5,46.5,0.5,100,8,-5,13,100,b10,
5.cisdl,25,26.2,25.3,2.11,11.46,2.5,0.5,41.5,0.5,100,6,1,14.16666667,100,b0,
5.cisdl,26,27,23.6,10.46,0.81,3,10,44.5,0.5,0,5,-1,12,0,b10,
5.cisdl,27,26.8,24.5,9.19,8.61,3,5,45,0.5,80,3,-3,14.33333333,100,b10,
5.cisdl,28,27.6,23.5,36.28,9.1,3,13,46,0.5,40,16,-6,13.83333333,100,b10,
5.cisdl,29,27.6,25.9,10.9,11.63,3,10.5,43,0.5,100,13,3,14.16666667,100,b10,
5.cisdl,30,28.5,25.9,30.14,11.08,3,13.5,44.5,0.5,100,16,3,14,100,b10,
7.cisdl,1,28.3,25.8,0.66,0.06,18,0.5,43.5,0.5,100,-2,-9,13.66666667,100,b1001,
7.cisdl,2,28.5,25.8,1.01,0.06,17,0.5,47,0.5,100,-3,-11,14.16666667,100,b1011,
